Номер заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1924,1.02.2024,Юбка карандаш трикотажная с разрезом,Одежда,67,4012,268804
4410,28.09.2023,Лонгслив с длинным рукавом базовый,Одежда,73,3287,239951
3110,21.09.2023,Юбка атласная миди,Одежда,64,3896,249344
4659,29.03.2024,Футболка приталенная хлопковая с завязкой на спине,Одежда,20,1251,25020
8277,30.03.2024,Гирлянда растяжка-флажки Выпускной 2024 фотозона,Дом,51,1706,87006
7570,07.02.2024,Каркас для фотозоны пресс-волл,Мебель,26,4766,123916
3672,06.07.2023,Москитная сетка на дверь на магнитах,Дом,22,2009,44198
4067,02.07.2023,Платье футболка длинное трикотажное,Одежда,38,1457,55366
4750,16.07.2023,Полка настенная навесная,Дом,54,1243,67122
4800,15.06.2023,Джинсы трубы клеш палаццо с высокой посадкой широкие,Одежда,35,3547,124145
4330,22.11.2023,Блузка женская,Одежда,59,2103,124077
7165,01.10.2023,Футболка белая с принтом Том и Джерри оверсайз,Одежда,48,2853,136944
6884,27.03.2024,Футболка свободная хлопковая в полоску,Одежда,54,2286,123444
7110,22.05.2023,Игрушка антистресс гусеница,Игрушки,66,1617,106722
2610,04.09.2023,Рубашка блузка оверсайз шелковая нарядная в школу,Одежда,82,3939,322998
7220,04.12.2023,Развивающий сортер для малышей повтори за ежиком,Игрушки,47,1680,78960
3310,04.01.2024,Как приручить дракона Игрушка Беззубик Ночная Дневная фурия,Игрушки,14,3960,55440
1607,19.07.2023,Джинсы палаццо широкие с высокой посадкой,Одежда,69,2767,190923
2399,01.10.2023,Воздушные шары триколор 30 штук Россия,Канцелярия,43,3690,158670
7760,06.12.2023,Электронный конструктор робототехника для детей,Игрушки,36,3791,136476
3264,18.10.2023,Джинсы классические прямые,Одежда,29,3867,112143
4766,11.09.2023,Пиджак оверсайз удлиненный приталенный,Одежда,67,1783,119461
2624,05.11.2023,Футболка свободная с принтом из хлопка,Одежда,66,4932,325512
1136,14.06.2023,Классическая юбка карандаш длина 65 см,Одежда,43,1972,84796
5750,29.12.2023,Жилетка костюмная классическая,Одежда,84,3867,324828
2429,05.05.2024,Головоломка игрушка для детей и для взрослых,Игрушки,50,2295,114750
8505,01.02.2024,Коктейль белковый детоксикационный oнко,Лечебное питание,48,1561,74928
3416,14.09.2023,Платье миди с разрезом с принтом,Одежда,61,2241,136701
6134,09.01.2024,Развивающая игрушка бизикуб дорожный бизиборд,Игрушки,28,3547,99316
7457,15.02.2024,Конструктор крепость катапульта и пушка,Игрушки,19,2109,40071
8765,15.07.2023,Развивающая игрушка жираф на присоске для детей,Игрушки,14,4998,69972
1753,23.02.2024,Звезды смотрят вниз,Книги,28,2693,75404
1727,17.05.2024,Силиконовый прорезыватель для зубов,Игрушки,88,3151,277288
3779,09.02.2024,джинсы трубы широкие с высокой посадкой,Одежда,87,3285,285795
2080,25.11.2023,"Наклейки",Канцелярия,93,4725,439425
3497,31.08.2023,"Стенд мобильный + баннер ""Помним! Гордимся!"" в подарок",Канцелярия,19,1291,24529
7525,27.11.2023,"Русская литература для всех. От ""Слова о полку Игореве""",Книги,35,3687,129045
7477,13.08.2023,Дама с букетом гвоздик,Книги,98,4163,407974
8559,18.10.2023,Джинсы классические прямые,Одежда,37,3467,128279
5670,09.12.2023,Колокольчики для выпускников на последний звонок 10 шт,Канцелярия,21,1443,30303
2171,11.03.2024,Набор опытов 14 в 1,Игрушки,55,2263,124465
2545,04.02.2024,Интерьерные наклейки на стену Цитата,Канцелярия,55,1379,75845
4406,23.11.2023,Баннер Год Семьи 2024 для выставочного х стенда,Канцелярия,52,4571,237692
5214,09.09.2023,Коврик силиконовый для раковины на смеситель,Дом,93,2378,221154
2322,30.07.2023,музыкальная машина 360 Future 09,Игрушки,11,3451,37961
2857,28.06.2023,Платье летнее яркое с разрезами,Одежда,84,1141,95844
3718,31.12.2023,Кондиционер-ополаскиватель для белья Parfumia 2шт,Бытовые принадлежности,43,2066,88838
2377,01.08.2023,Держатель для туалетной бумаги + отсек для освежителя,Бытовые принадлежности,78,2586,201708
2518,18.10.2023,Детский конструктор,Игрушки,94,4040,379760
3163,18.12.2023,"Кондиционер для белья Parfumia Элегантная ""фиолетовый""",Бытовые принадлежности,43,1986,85398
4062,06.09.2023,Халат банный с капюшоном,Одежда,41,2705,110905
3871,26.11.2023,"Стенд мобильный + баннер ""Помним! Гордимся!"" в подарок",Канцелярия,82,1972,161704
5574,21.08.2023,День победы 9 мая плакат,Канцелярия,74,1941,143634
2441,25.09.2023,Блузка нарядная офисная больших размеров,Одежда,99,1277,126423
8873,05.04.2024,Воздушные шары набор с надписями для украшения на выпускной,Одежда,38,1800,68400
4466,25.06.2023,Футболка базовая хлопок,Одежда,19,2454,46626
6757,02.01.2024,Боди с длинным рукавом,Одежда,14,3556,49784
2143,16.04.2024,Прорезыватель зубная щетка,Игрушки,10,1508,15080
8442,26.04.2024,"Ручка выпускника 2024 год для 9 и 11 класса (10 шт)",Канцелярия,88,1456,128128
5803,21.04.2024,Корейская маска для объема волос 10 стиков,Косметика,77,2924,225148
5313,07.01.2024,Блузка нарядная в офис,Одежда,38,2803,106514
6996,27.05.2023,Лонгслив с длинным рукавом,Одежда,81,1888,152928
7315,25.11.2023,серьги бижутерия крупные круглые,Аксессуары,59,3206,189154
5580,19.01.2024,Порошок стиральный 3 кг,Бытовые принадлежности,82,2530,207460
8715,23.06.2023,Развивающие игрушки деревянный сортер Монтессори для малышей,Игрушки,20,2677,53540
7581,02.12.2023,Чувство и чувствительность,Книги,12,1580,18960
7544,17.02.2024,"Подарок выпускнику на выпускной кружка ""Выпуск 2024"" 330 мл",Канцелярия,74,4371,323454
3782,15.06.2023,Программист-прагматик 2-е юбилейное изд,Книги,100,3237,323700
5412,31.12.2023,Сапоги женские резиновые с чулком зимние для девочки,Обувь,63,1650,103950
1506,09.11.2023,Каркас для фотозоны 3х2 м,Канцелярия,40,1370,54800
1586,26.01.2024,Футболка базовая однотонная,Одежда,88,4975,437800
5693,07.12.2023,Конструктор крепость большая,Игрушки,24,1867,44808
6097,19.10.2023,Лонгслив с круглым вырезом,Одежда,81,4255,344655
8457,16.10.2023,Майка футболка с коротким рукавом,Одежда,65,4915,319475
2949,31.01.2024,Развивающие игрушки мозаика для малышей крупная,Игрушки,34,4837,164458
6649,08.01.2024,Накидка на диван 160х90 дивандек,Дом,76,1560,118560
2510,10.04.2024,Секатор аккумуляторный для сада 21W + 2 батареи сучкорез,Сад,41,4727,193807
6910,24.07.2023,Детские наклейки интерьерные на стену Животные,Канцелярия,53,3166,167798
8797,27.03.2024,Конструктор классик ПРО100 мешок,Игрушки,79,2309,182411
3581,03.04.2024,Баннер Навигаторы детства для мобильного стенда паук,Игрушки,31,1704,52824
6377,26.06.2023,Стенд Ордена и медали ВОВ патриотическое оформление,Канцелярия,76,4151,315476
1814,11.11.2023,Серьги бижутерия вечерние длинные,Аксессуары,48,4474,214752
7573,29.01.2024,Прорезыватель зубная щетка,Игрушки,53,2368,125504
1718,25.09.2023,Чехол для наушников,Аксессуары,96,4780,458880
1160,14.08.2023,Кукольный домик,Игрушки,75,1953,146475
8612,13.06.2023,"Пригласительные на последний звонок 20 штук",Канцелярия,41,1919,78679
8992,10.09.2023,Футболка приталенная,Одежда,30,2271,68130
5945,02.08.2023,Опыты для детей 10 в 1 на подарок,Игрушки,57,2618,149226
6701,16.11.2023,Раскопки для детей набор светящихся Динозавров 7 в 1,Игрушки,77,2229,171633
2003,10.05.2024,Металлический конструктор развивающий для детей,Игрушки,59,2377,140243
6454,19.05.2023,Набор химических опытов и экспериментов для детей в подарок,Игрушки,36,2980,107280
5715,01.06.2023,"Раскопки для детей набор для создания украшений",Игрушки,16,2592,41472
